{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (129.56984, 498.23622)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (17.56438, -79.40914)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (-572.70213, 403.24467)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (-363.67785, 302.80395)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (-194.12501, 191.07181)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (-457.30814, 552.35325)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (-136.43456, -80.10411)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (552.09578, 318.11908)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (-497.04534, -99.96212)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (269.87622, 96.38579)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (97.54643, 350.10638)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (-43.87785, 320.2368)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (-291.46406, -80.09559)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (307.41403, -328.35728)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: None, Centroid: None}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 2-710, Centroid: (-170.84848, 390.18997)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-100, Centroid: (524.43269, 392.0265)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-131, Centroid: (394.191, 357.11558)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-134, Centroid: (339.90469, 425.91686)}
